Campus	Department Name	Course Number	Course Name	Credits	Areas of Knowledge	Quarters Offered	Offered with	Prerequisites	Co-Requisites	Description
Tacoma	TBANLT	580	Social Media Analytics	4						Focuses on some of the primary concepts, methods, tools and solutions to develop a social media strategy, and to collect, process and transform social media data into information processes, knowledge, actionable decisions and processes. It also covers how organizations make use of social media as a strategy to gain a competitive advantage.
Tacoma	TBANLT	585	Cognitive Analytics	4						Focuses on foundations of cognitive analytics. Evaluate the concepts with innovative uses of cognitive solutions to either solve existing business problems or create new business opportunities, and improve the performance of organizations. Analyze how to utilize cognitive tools, assistants, collaborators and coaches effectively.
Tacoma	TBANLT	590	Special Topics in Business Analytics	2						Advanced course offerings designed to respond to faculty and student interests and needs. Topic will vary. Only offered when allowed by faculty availability and sufficient student interest. Content to be announced in advance of scheduled offerings.
Tacoma	TBANLT	591	Applied Project: Digital Transformation Lab I	2						Focuses on how to apply the concepts, methods and solutions associated with data, analytics, smart machines and digital solutions to real opportunities in an application domain. Topics will include, but are not limited to: analysis of organization and market demand, business model development, opportunity analysis for digital transformation.
Tacoma	TBANLT	592	Applied Project: Digital Transformation Lab II	2						Focuses on processes performed to analyze and plan digital transformation and innovation to a wide variety of opportunities and challenges. Topics will include, but are not limited to: requirements gartering, defining scope, risk analysis, detailed transformation and technology planning.
Tacoma	TBANLT	593	Applied Project: Digital Transformation Lab III	2						Focuses on processes performed to design and develop data and digital solutions to a wide variety of opportunities and challenges. Topics will include, but are not limited to: collection, storage, analysis of data and development of digital solutions.
Tacoma	TBANLT	594	Applied Project: Digital Transformation Lab IV	2						Focuses on processes performed to prototype data and digital solutions to a wide variety of opportunities and challenges. Topics will include, but are not limited to: develop, prototype and lessons learned, analyze findings, recognize ethical dilemmas and social responsibilities.
Tacoma	TBANLT	600	Independent Study or Research	2						Provides an opportunity to work independently exploring specific data and business analytics topics in greater depth. The student must develop a research proposal and make arrangements with a faculty member to supervise the project prior to course registration. permission of faculty is required.
Tacoma	TBANLT	601	Internship	2						Provides students with practical knowledge and experience in a private or public work environment. Gives students opportunities to develop a strategic plan under faculty guidance, and to perform field work utilizing the skills developed in the classroom. Permission of faculty is required.
Tacoma	TBECON	220	Introduction to Microeconomic Theory	5	I&S, QSR					Introduces microeconomic theory applied to individual decision-making, analysis of markets, and the role of prices. Specific topics include consumer demand, production, exchange, resource allocation, and government intervention.
Tacoma	TBECON	221	Introduction to Macroeconomic Theory	5	I&S, QSR					Involves the study and analysis of the aggregate economy. Topics include the determination of national income, inflation, business fluctuations, unemployment, monetary systems, the federal budget, and international trade.
Tacoma	TBECON	420	Intermediate Microeconomic Theory	5	QSR			TMATH124,MATH112,,MATH124,TBUS301		Applies tools of intermediate microeconomic theory to issues of particular interest to business students. Topics include market processes, consumer theory, firm behavior in competitive and imperfectly competitive markets, product pricing, and strategic behavior. Prerequisite: minimum grade of 2.5 in TMATH 124, MATH 112, or MATH 124 or grade of 1.7 in T BUS 301.
Tacoma	TBECON	421	Intermediate Macroeconomic Theory	5				TBUS301,MATH112,TMATH122,TMATH124,MATH124;&&TBECON221,TECON201,,ECON201		Focuses on the use of intermediate economic theory to understand how financial markets are affected by macroeconomic variables. Specific emphasis is placed on international markets and how to assess the impact of difference macroeconomic policies. Prerequisite: either a minimum grade of 1.7 in T BUS 301, or a minimum grade of 2.5 in MATH 112, TMATH 122, TMATH 124, or MATH 124; and a minimum grade of 2.0 in TBECON 221, TECON 201, or ECON 201.
